City,Ibrid,Electric,GasBifuel,TotalEmission
Torino,23.6,1.7,122.4,147.7
Vercelli,20.1,1.2,70.4,91.6
Novara,23.4,1.4,92.8,117.7
Biella,17.9,1.3,61.1,80.2
Cuneo,23.3,2.3,72.7,98.3
Verbania,15.8,0.8,39.9,56.5
Asti,12.4,1.7,81.9,96.0
Alessandria,15.6,1.2,84.3,101.2
Aosta,22.6,2.6,35.6,60.9
Imperia,17.8,0.8,28.6,47.2
Savona,17.5,0.8,48.8,67.1
Genova,21.4,1.6,37.7,60.7
La Spezia,14.1,1.5,82.6,98.2
Varese,41.0,2.4,22.6,66.0
Como,31.5,2.9,28.4,62.8
Lecco,23.9,2.2,35.8,61.9
Sondrio,19.6,1.3,19.0,39.8
Milano,37.6,3.2,59.6,100.4
Monza,30.2,2.4,56.9,89.5
Bergamo,34.5,3.1,85.2,122.8
Brescia,26.8,3.4,124.9,155.0
Pavia,24.3,1.4,75.3,101.0
Lodi,21.2,1.9,80.7,103.9
Cremona,27.3,1.7,68.7,97.7
Mantova,19.9,1.6,98.9,120.4
Bolzano/Bozen,24.9,4.7,42.2,71.8
Trento,25.1,4.3,57.9,87.4
Verona,27.8,2.6,144.9,175.3
Vicenza,30.9,2.6,100.8,134.2
Belluno,20.3,2.2,43.3,65.7
Treviso,25.4,2.3,102.9,130.6
Venezia,22.3,1.6,107.7,131.6
Padova,30.9,2.1,122.8,155.8
Rovigo,18.5,1.6,188.8,208.9
Pordenone,25.1,2.3,56.7,84.1
Udine,23.4,2.1,35.4,61.0
Gorizia,13.4,1.2,16.1,30.8
Trieste,22.0,1.6,14.0,37.6
Piacenza,21.5,1.7,136.9,160.0
Parma,25.3,2.0,191.7,219.0
Reggio nell'Emilia,24.1,2.1,205.9,232.0
Modena,28.7,2.0,169.8,200.5
Bologna,47.2,2.4,171.2,220.8
Ferrara,22.4,1.3,185.7,209.3
Ravenna,15.1,1.8,209.7,226.6
Forlì,14.5,1.5,189.2,205.2
Cesena,15.2,1.5,197.4,214.1
Rimini,18.3,1.6,189.3,209.1
Massa,13.0,1.2,122.3,136.5
Lucca,16.8,1.5,110.2,128.4
Pistoia,12.2,1.3,119.4,132.9
Firenze,22.0,2.4,83.7,108.1
Prato,17.8,1.2,85.1,104.0
Livorno,14.1,1.1,81.0,96.2
Pisa,18.1,1.6,103.8,123.5
Arezzo,12.4,1.1,124.6,138.0
Siena,17.8,1.6,76.7,96.1
Grosseto,8.9,0.9,78.8,88.7
Perugia,17.4,1.5,124.3,143.2
Terni,12.7,1.1,158.3,172.2
Pesaro,16.5,1.5,139.2,157.1
Ancona,17.7,1.5,205.3,224.4
Macerata,12.6,0.7,238.3,251.6
Fermo,8.1,1.2,214.6,223.9
Ascoli Piceno,10.0,0.7,160.5,171.2
Viterbo,12.9,0.9,72.5,86.4
Rieti,7.3,0.9,93.3,101.5
Roma,27.3,2.0,93.2,122.5
Latina,14.6,1.3,95.3,111.2
Frosinone,11.8,1.1,107.2,120.1
L'Aquila,10.3,1.4,86.4,98.1
Teramo,11.3,1.1,119.5,131.9
Pescara,13.3,1.1,100.2,114.6
Chieti,11.3,1.4,101.1,113.9
Isernia,4.7,1.1,56.0,61.8
Campobasso,8.0,0.9,103.5,112.4
Caserta,11.0,1.1,112.4,124.5
Benevento,5.9,0.8,105.5,112.3
Napoli,4.7,0.6,117.2,122.5
Avellino,8.7,1.0,124.3,134.0
Salerno,10.2,0.8,112.3,123.4
Foggia,7.3,0.7,122.3,130.2
Andria,5.6,0.6,47.7,53.9
Barletta,8.7,0.8,48.8,58.3
Trani,6.6,1.0,68.1,75.7
Bari,10.5,1.1,105.6,117.3
Taranto,5.5,0.7,77.0,83.3
Brindisi,6.5,0.6,88.0,95.1
Lecce,7.8,0.9,105.6,114.3
Potenza,7.5,0.9,85.6,94.0
Matera,10.8,1.5,81.2,93.6
Cosenza,6.2,0.7,39.1,46.1
Crotone,7.7,0.6,45.6,53.9
Catanzaro,9.2,1.1,46.1,56.4
Vibo Valentia,5.0,0.4,32.0,37.4
Reggio di Calabria,7.3,0.6,36.0,43.9
Trapani,7.7,0.7,35.1,43.5
Palermo,7.8,0.9,69.8,78.5
Messina,6.1,0.9,34.6,41.6
Agrigento,6.1,1.0,30.8,37.8
Caltanissetta,4.2,0.7,35.3,40.2
Enna,4.1,0.8,25.0,29.8
Catania,5.8,1.0,48.0,54.7
Ragusa,13.1,1.0,51.4,65.5
Siracusa,10.1,1.0,43.0,54.1
Sassari,9.3,1.1,29.3,39.8
Nuoro,11.7,1.9,22.3,36.0
Oristano,7.0,1.9,25.2,34.1
Cagliari,13.6,1.6,23.7,39.0
Carbonia,4.5,0.8,27.4,32.7
,,,,
Nord (*) ,26.9,2.2,102.7,131.8
Nord-ovest (*),27.5,2.2,75.1,104.8
Nord-est (*),26.2,2.2,137.4,165.7
Centro (*),21.9,1.7,102.6,126.2
Mezzogiorno (*) ,7.7,0.9,75.1,83.6
Sud (*),7.5,0.8,93.3,101.6
Isole (*),8.0,1.0,47.0,55.9
Capoluoghi di città metropolitana,21.9,1.8,87.0,110.7
Capoluoghi di provincia (*),17.3,1.6,101.3,120.1
Italia (*),19.6,1.7,94.2,115.4
