City,Percentuale_aree_verdi
Torino,15.54
Vercelli,2.95
Novara,1.41
Biella,1.88
Cuneo,1.51
Verbania,8.90
Asti,1.37
Alessandria,1.22
Aosta,3.00
Imperia,0.56
Savona,0.88
Genova,4.98
La Spezia,2.31
Varese,2.84
Como,9.88
Lecco,1.65
Sondrio,30.80
Milano,13.85
Monza ,27.46
Bergamo,7.65
Brescia,5.20
Pavia,2.78
Lodi,6.17
Cremona,4.02
Mantova ,3.11
Bolzano - Bozen ,46.22
Trento ,30.26
Verona,3.56
Vicenza,4.23
Belluno ,0.60
Treviso,2.87
Venezia,2.66
Padova,8.68
Rovigo,1.53
Pordenone,14.91
Udine,3.78
Gorizia,11.41
Trieste,14.65
Piacenza,2.55
Parma,6.66
Reggio nell'Emilia ,4.46
Modena,5.71
Bologna,6.13
Ferrara ,2.05
Ravenna,1.18
Forlì,1.28
Cesena,1.55
Rimini,2.34
Massa,1.25
Lucca,0.85
Pistoia,0.81
Firenze ,9.08
Prato ,6.55
Livorno,1.86
Pisa,1.11
Arezzo,0.75
Siena,1.28
Grosseto,0.58
Perugia ,2.32
Terni,7.88
Pesaro,1.60
Ancona ,4.17
Macerata,0.92
Fermo,0.75
Ascoli Piceno,0.29
Viterbo,0.21
Rieti,7.64
Roma ,3.63
Latina,0.74
Frosinone,3.01
L'Aquila ,0.49
Teramo,0.65
Pescara ,13.60
Chieti,0.73
Isernia (a),30.56
Campobasso,1.03
Caserta,2.46
Benevento,0.98
Napoli ,10.45
Avellino,5.35
Salerno,4.13
Foggia,0.27
Andria,0.17
Barletta,0.23
Trani,0.28
Bari,2.54
Taranto,1.13
Brindisi,0.32
Lecce,0.38
Potenza,6.01
Matera  (a),0.26
Cosenza,4.55
Crotone,0.11
Catanzaro,4.47
Vibo Valentia,0.88
Reggio di Calabria,2.67
Trapani (b),0.15
Palermo,4.75
Messina,0.61
Agrigento,2.24
Caltanissetta,0.15
Enna,0.09
Catania,2.97
Ragusa,0.37
Siracusa,0.47
Sassari,0.41
Nuoro,0.62
Oristano,2.13
Cagliari,6.28
Carbonia,1.70
