City,Percentuale_centraline,Percentuale_basse_emissioni,Percentuale_energia_solare,Percentuale_aree_verdi
Torino,100.0,17.4,5.3,15.54
Vercelli,0.0,11.5,1.9,2.95
Novara,0.0,14.1,0.3,1.41
Biella,0.0,10.3,8.1,1.88
Cuneo,0.0,12.2,0.5,1.51
Verbania,0.0,7.7,23.5,8.9
Asti,100.0,11.5,3.6,1.37
Alessandria,100.0,12.0,0.1,1.22
Aosta,0.0,8.1,0.0,3.0
Imperia,,6.2,3.3,0.56
Savona,0.0,8.6,8.9,0.88
Genova,0.0,8.3,6.2,4.98
La Spezia,0.0,11.9,2.2,2.31
Varese,0.0,9.1,3.2,2.84
Como,100.0,8.3,0.0,9.88
Lecco,0.0,8.3,1.7,1.65
Sondrio,0.0,6.0,7.9,30.8
Milano,75.0,12.6,2.9,13.85
Monza,100.0,11.2,0.1,27.46
Bergamo,50.0,14.6,2.5,7.65
Brescia,100.0,17.5,3.1,5.2
Pavia,100.0,12.2,0.8,2.78
Lodi,100.0,12.5,2.3,6.17
Cremona,67.0,11.9,6.6,4.02
Mantova,100.0,13.8,12.4,3.11
Bolzano,0.0,9.0,8.7,46.22
Trento,0.0,11.1,12.4,30.26
Verona,100.0,19.7,14.2,3.56
Vicenza,100.0,15.8,2.4,4.23
Belluno,0.0,8.5,0.7,0.6
Treviso,100.0,15.2,2.9,2.87
Venezia,100.0,15.2,4.8,2.66
Padova,100.0,18.0,12.7,8.68
Rovigo,100.0,22.9,1.1,1.53
Pordenone,0.0,10.4,20.1,14.91
Udine,0.0,8.1,1.7,3.78
Gorizia,0.0,4.7,15.1,11.41
Trieste,0.0,5.5,2.9,14.65
Piacenza,100.0,17.8,0.4,2.55
Parma,50.0,23.8,11.5,6.66
Reggio nell'Emilia,50.0,24.8,5.5,4.46
Modena,80.0,22.0,2.9,5.71
Bologna,0.0,24.5,8.7,6.13
Ferrara,50.0,22.8,0.5,2.05
Ravenna,0.0,24.2,2.0,1.18
Forlì,0.0,22.0,2.2,1.28
Cesena,50.0,22.8,2.3,1.55
Rimini,0.0,22.5,4.7,2.34
Massa,0.0,15.5,1.4,1.25
Lucca,0.0,14.9,0.9,0.85
Pistoia,0.0,14.9,3.1,0.81
Firenze,0.0,13.1,14.6,9.08
Prato,0.0,12.1,6.3,6.55
Livorno,0.0,11.6,3.5,1.86
Pisa,0.0,14.4,1.2,1.11
Arezzo,0.0,15.2,3.2,0.75
Siena,0.0,11.5,4.6,1.28
Grosseto,0.0,10.4,0.4,0.58
Perugia,0.0,16.1,1.5,2.32
Terni,20.0,19.0,5.2,7.88
Pesaro,0.0,17.8,0.0,1.6
Ancona,0.0,24.6,1.2,4.17
Macerata,0.0,27.1,3.9,0.92
Fermo,,24.1,0.5,0.75
Ascoli Piceno,0.0,18.9,1.3,0.29
Viterbo,0.0,10.6,0.0,0.21
Rieti,0.0,11.8,2.7,7.64
Roma,8.0,14.7,5.3,3.63
Latina,0.0,13.1,0.4,0.74
Frosinone,50.0,14.0,2.8,3.01
L'Aquila,0.0,11.2,1.6,0.49
Teramo,0.0,15.0,0.0,0.65
Pescara,0.0,13.4,11.0,13.6
Chieti,0.0,13.1,2.0,0.73
Isernia,,7.4,0.4,30.56
Campobasso,0.0,12.5,1.3,1.03
Caserta,0.0,14.8,4.1,2.46
Benevento,0.0,13.0,1.0,0.98
Napoli,29.0,13.7,9.5,10.45
Avellino,100.0,15.3,4.7,5.35
Salerno,0.0,14.3,39.2,4.13
Foggia,0.0,14.1,0.3,0.27
Andria,0.0,6.4,0.4,0.17
Barletta,0.0,6.9,0.0,0.23
Trani,,8.7,0.0,0.28
Bari,0.0,13.5,1.3,2.54
Taranto,0.0,9.8,0.6,1.13
Brindisi,0.0,10.9,0.3,0.32
Lecce,0.0,12.9,0.0,0.38
Potenza,0.0,11.1,15.6,6.01
Matera,0.0,11.3,0.3,0.26
Cosenza,0.0,5.8,4.4,4.55
Crotone,0.0,6.5,1.0,0.11
Catanzaro,0.0,7.2,11.7,4.47
Vibo Valentia,0.0,5.1,1.2,0.88
Reggio di Calabria,0.0,5.7,0.7,2.67
Trapani,0.0,5.6,0.5,0.15
Palermo,0.0,9.1,4.3,4.75
Messina,0.0,5.4,2.8,0.61
Agrigento,0.0,4.9,0.1,2.24
Caltanissetta,0.0,5.2,4.4,0.15
Enna,0.0,4.1,0.6,0.09
Catania,50.0,6.5,1.7,2.97
Ragusa,0.0,8.1,0.7,0.37
Siracusa,0.0,6.9,3.2,0.47
Sassari,0.0,5.2,0.4,0.41
Nuoro,0.0,4.7,1.9,0.62
Oristano,0.0,4.5,4.6,2.13
Cagliari,0.0,5.6,3.3,6.28
Carbonia,0.0,4.7,2.1,1.7
