City,Percentuale_comune,Percentuale_partecipate
Torino, 1.3 , 4.0 
Vercelli, 1.7 , 0.2 
Novara, 0.3 , 0.0 
Biella, 4.4 , 3.7 
Cuneo, 0.3 , 0.2 
Verbania, 0.7 , 22.8 
Asti, 0.2 , 3.4 
Alessandria, 0.1 , - 
Aosta, - , - 
Imperia, 3.3 , - 
Savona, 3.1 , 5.8 
Genova, 4.4 , 1.8 
La Spezia, 2.2 , - 
Varese, 1.1 , 2.1 
Como, - , - 
Lecco, 1.7 , 0.0 
Sondrio, 5.8 , 2.1 
Milano, 0.9 , 2.0 
Monza, - , 0.1 
Bergamo, 0.2 , 2.3 
Brescia, 0.5 , 2.6 
Pavia, 0.0 , 0.8 
Lodi, 1.2 , 1.1 
Cremona, 0.4 , 6.2 
Mantova, 0.6 , 11.8 
Bolzano-Bozen, 0.3 , 8.4 
Trento, 1.1 , 11.3 
Verona, 0.4 , 13.8 
Vicenza, 2.3 , 0.1 
Belluno, 0.7 , - 
Treviso, 1.8 , 1.1 
Venezia, 0.4 , 4.4 
Padova, 10.5 , 2.2 
Rovigo, 0.1 , 1.0 
Pordenone, 3.0 , 17.1 
Udine, 0.5 , 1.2 
Gorizia, 0.6 , 14.5 
Trieste, 1.6 , 1.3 
Piacenza, 0.4 , - 
Parma, 0.2 , 11.3 
Reggio nell'Emilia (d), 0.4 , 5.1 
Modena, 0.4 , 2.5 
Bologna, 0.1 , 8.6 
Ferrara, 0.4 , 0.1 
Ravenna, 0.1 , 1.9 
Forlì, 0.7 , 1.5 
Cesena, 0.5 , 1.8 
Rimini, 2.6 , 2.1 
Massa, 0.8 , 0.6 
Lucca, 0.1 , 0.8 
Pistoia, 1.2 , 1.9 
Firenze, 1.8 , 12.8 
Prato, 3.4 , 2.9 
Livorno, 0.0 , 3.5 
Pisa, 0.7 , 0.5 
Arezzo, 0.3 , 2.9 
Siena, 3.2 , 1.4 
Grosseto, 0.2 , 0.2 
Perugia, 1.1 , 0.4 
Terni, 0.3 , 4.9 
Pesaro, 0.0 , 0.0 
Ancona, 0.8 , 0.4 
Macerata, - , 3.9 
Fermo, 0.2 , 0.3 
Ascoli Piceno, 0.3 , 1.0 
Viterbo, - , - 
Rieti, 1.9 , 0.8 
Roma, 1.0 , 4.3 
Latina, 0.2 , 0.2 
Frosinone, 1.7 , 1.1 
L'Aquila, 1.3 , 0.3 
Teramo, - , - 
Pescara, 1.3 , 9.7 
Chieti, 0.9 , 1.1 
Isernia, 0.4 , - 
Campobasso, 1.1 , 0.2 
Caserta, 1.9 , 2.2 
Benevento, 1.0 , - 
Napoli, 2.1 , 7.4 
Avellino, 4.7 , - 
Salerno, 37.4 , 1.8 
Foggia, 0.3 , 0.0 
Andria, 0.4 , - 
Barletta, - , - 
Trani, - , - 
Bari, - , 1.3 
Taranto, 0.0 , 0.6 
Brindisi, - , 0.3 
Lecce, - , 0.0 
Potenza, 0.8 , 14.8 
Matera, 0.2 , 0.1 
Cosenza, 3.9 , 0.5 
Crotone, - , 1.0 
Catanzaro, 1.5 , 10.2 
Vibo Valentia, 1.0 , 0.2 
Reggio di Calabria (d), 0.7 , - 
Trapani, - , 0.5 
Palermo, 0.1 , 4.2 
Messina, 2.7 , 0.1 
Agrigento, 0.0 , 0.1 
Caltanissetta, 4.4 , - 
Enna, 0.6 , - 
Catania, 0.5 , 1.2 
Ragusa, 0.7 , - 
Siracusa, 3.2 , - 
Sassari, 0.4 , - 
Nuoro, 0.1 , 1.8 
Oristano, 4.0 , 0.6 
Cagliari, 0.6 , 2.7 
Carbonia, 2.1 , - 
